verified,id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,background,foreground,border
true,cultures:europe:kakanj_culture,cultures-europe,-6200,-4200,Culture de Kakanj,Kakanj culture,https://fr.wikipedia.org/wiki/Culture_de_Kakanj,https://en.wikipedia.org/wiki/Kakanj_culture,,Early Neolithic culture in Central Bosnia,oklch(62.3% 0.214 259.815),,
true,cultures:europe:k%c3%b6r%c3%b6s_culture,cultures-europe,-5800,-5300,Culture de Körös,Körös culture,https://en.wikipedia.org/wiki/K%C3%B6r%C3%B6s_culture,https://en.wikipedia.org/wiki/K%C3%B6r%C3%B6s_culture,,Archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:dude%c8%99ti_culture,cultures-europe,-5800,-5000,Culture de Dudești,Dudești culture,https://en.wikipedia.org/wiki/Dude%C8%99ti_culture,https://en.wikipedia.org/wiki/Dude%C8%99ti_culture,,Neolithic archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:vin%c4%8da_culture,cultures-europe,-5500,-3500,Culture de Vinča,Vinča culture,https://fr.wikipedia.org/wiki/Culture_de_Vinča,https://en.wikipedia.org/wiki/Vin%C4%8Da_culture,"culture néolithique des Balkans, entre 5500 et 3500 ans av. J.-C.",Southeastern European Neolithic archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:first_temperate_neolithic,cultures-europe,-6400,-5100,Premier Néolithique tempéré,First Temperate Neolithic,https://en.wikipedia.org/wiki/First_Temperate_Neolithic,https://en.wikipedia.org/wiki/First_Temperate_Neolithic,,Archaeological horizon of Neolithic Southeastern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:danubian_culture,cultures-europe,-5500,-4500,Culture danubienne,Danubian culture,https://en.wikipedia.org/wiki/Danubian_culture,https://en.wikipedia.org/wiki/Danubian_culture,,Neolithic archaeological culture in Eastern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:samara_culture,cultures-europe,-5200,-4800,Culture de Samara,Samara culture,https://fr.wikipedia.org/wiki/Culture_de_Samara,https://en.wikipedia.org/wiki/Samara_culture,,Prehistoric culture in modern Russia,oklch(62.3% 0.214 259.815),,
true,cultures:europe:stentinello_culture,cultures-europe,-5500,-4400,Culture de Stentinello,Stentinello culture,https://fr.wikipedia.org/wiki/Culture_de_Stentinello,https://en.wikipedia.org/wiki/Stentinello_culture,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:cucuteni%e2%80%93trypillia_culture,cultures-europe,-5800,-2800,Culture de Cucuteni-Trypillia,Cucuteni–Trypillia culture,https://fr.wikipedia.org/wiki/Culture_de_Cucuteni-Trypillia,https://en.wikipedia.org/wiki/Cucuteni%E2%80%93Trypillia_culture,culture néolithique en Roumanie et Ukraine,Neolithic–Eneolithic archaeological culture of southeastern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:linear_pottery_culture,cultures-europe,-5500,-4700,Culture rubanée,Linear Pottery culture,https://fr.wikipedia.org/wiki/Culture_rubanée,https://en.wikipedia.org/wiki/Linear_Pottery_culture,"culture archéologique néolithique d'Europe centrale, datée de 5 500 à 4 700 ans av. J.-C.",Archaeological horizon of Neolithic Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:tisza_culture,cultures-europe,-4200,-3200,Culture de Tisza,Tisza culture,https://fr.wikipedia.org/wiki/Culture_de_Tisza,https://en.wikipedia.org/wiki/Tisza_culture,Culture Tisza,Neolithic European archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:sopot_culture,cultures-europe,-5500,-3800,Culture de Sopot,Sopot culture,https://fr.wikipedia.org/wiki/Culture_de_Sopot,https://en.wikipedia.org/wiki/Sopot_culture,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:narva_culture,cultures-europe,-5400,-2000,Culture de Narva,Narva culture,https://fr.wikipedia.org/wiki/Culture_de_Narva,https://en.wikipedia.org/wiki/Narva_culture,,Archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:swifterbant_culture,cultures-europe,-5300,-3400,Culture de Swifterbant,Swifterbant culture,https://en.wikipedia.org/wiki/Swifterbant_culture,https://en.wikipedia.org/wiki/Swifterbant_culture,,undefined,oklch(62.3% 0.214 259.815),,
