id,group,type,name_fr,name_en,start,end,circa,wiki_fr,wiki_en,credits_url,credits_attribution,cover,background,foreground,border
1765209128-55,pterosaurs,range,Cimoliopterus,Cimoliopterus,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Cimoliopterus,https://en.wikipedia.org/wiki/Cimoliopterus,https://www.pteros.com/pterosaurs/cimoliopterus.html,Pteros,https://pteros-img.imgix.net/cimoliopterus_midiaou-diallo.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-56,pterosaurs,range,Coloborhynchus,Coloborhynchus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Coloborhynchus,https://en.wikipedia.org/wiki/Coloborhynchus,https://www.pteros.com/pterosaurs/coloborhynchus.html,Pteros,http://pteros-img.imgix.net/coloborhynchus_franz-anthony.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-57,pterosaurs,range,Cryodrakon,Cryodrakon,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Cryodrakon,https://en.wikipedia.org/wiki/Cryodrakon,https://www.pteros.com/pterosaurs/cryodrakon.html,Pteros,https://pteros-img.imgix.net/cryodrakon_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-58,pterosaurs,range,Ctenochasma,Ctenochasma,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Ctenochasma,https://en.wikipedia.org/wiki/Ctenochasma,https://www.pteros.com/pterosaurs/ctenochasma.html,Pteros,https://pteros-img.imgix.net/ctenochasma_chris-masnaghetti.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-59,pterosaurs,range,Cuspicephalus,Cuspicephalus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Cuspicephalus,https://en.wikipedia.org/wiki/Cuspicephalus,https://www.pteros.com/pterosaurs/cuspicephalus.html,Pteros,https://pteros-img.imgix.net/cuspicephalus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-60,pterosaurs,range,Cycnorhamphus,Cycnorhamphus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Cycnorhamphus,https://en.wikipedia.org/wiki/Cycnorhamphus,https://www.pteros.com/pterosaurs/cycnorhamphus.html,Pteros,https://pteros-img.imgix.net/cycnorhamphus_chris-masnaghetti.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-61,pterosaurs,range,Daohugoupterus,Daohugoupterus,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Daohugoupterus,https://en.wikipedia.org/wiki/Daohugoupterus,https://www.pteros.com/pterosaurs/daohugoupterus.html,Pteros,https://pteros-img.imgix.net/daohugoupterus_joshua-tedder.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-62,pterosaurs,range,Darwinopterus,Darwinopterus,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Darwinopterus,https://en.wikipedia.org/wiki/Darwinopterus,https://www.pteros.com/pterosaurs/darwinopterus.html,Pteros,https://pteros-img.imgix.net/darwinopterus-linglongtaensis_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-63,pterosaurs,range,Dawndraco,Dawndraco,-100500000,-66000000,true,https://en.wikipedia.org/wiki/Dawndraco,https://en.wikipedia.org/wiki/Dawndraco,https://www.pteros.com/pterosaurs/dawndraco.html,Pteros,https://pteros-img.imgix.net/dawndraco-kanzai_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-64,pterosaurs,range,Dendrorhynchoides,Dendrorhynchoides,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Dendrorhynchoides,https://en.wikipedia.org/wiki/Dendrorhynchoides,https://www.pteros.com/pterosaurs/dendrorhynchoides.html,Pteros,https://pteros-img.imgix.net/dendrorhynchoides_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-65,pterosaurs,range,Dimorphodon,Dimorphodon,-201400000,-174700000,true,https://fr.wikipedia.org/wiki/Dimorphodon,https://en.wikipedia.org/wiki/Dimorphodon,https://www.pteros.com/pterosaurs/dimorphodon.html,Pteros,https://pteros-img.imgix.net/dimorphodon-macronyx_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-66,pterosaurs,range,Diopecephalus,Diopecephalus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Diopecephalus,https://en.wikipedia.org/wiki/Diopecephalus,https://www.pteros.com/pterosaurs/diopecephalus.html,Pteros,http://pteros-img.imgix.net/diopecephalus_joshua-tedder.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-67,pterosaurs,range,Domeykodactylus,Domeykodactylus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Domeykodactylus,https://en.wikipedia.org/wiki/Domeykodactylus,https://www.pteros.com/pterosaurs/domeykodactylus.html,Pteros,https://pteros-img.imgix.net/domeykodactylus_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-68,pterosaurs,range,Dorygnathus,Dorygnathus,-201400000,-174700000,true,https://fr.wikipedia.org/wiki/Dorygnathus,https://en.wikipedia.org/wiki/Dorygnathus,https://www.pteros.com/pterosaurs/dorygnathus.html,Pteros,https://pteros-img.imgix.net/dorygnathus_joschua-knuppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
